day,views,engagedViews,estimatedMinutesWatched,averageViewDuration,likes,dislikes,comments,shares,subscribersGained,subscribersLost,annotationClickThroughRate,annotationCloseRate,averageViewPercentage
2023-06-01,1244,1122,2343,113,97,2,24,18,39,3,0,0,25.45
2023-06-02,1034,894,3567,207,44,2,13,6,47,9,0,0,20.26
2023-06-03,759,646,3238,256,43,1,11,7,24,2,0,0,20.46
2023-06-04,852,833,2670,188,51,2,7,9,38,4,0,0,35.46
2023-06-05,576,556,1776,185,23,1,6,8,26,5,0,0,32.62
2023-06-06,788,758,1734,132,36,0,15,8,18,1,0,0,23.83
2023-06-07,872,802,3459,238,30,0,11,9,42,7,0,0,38.64
2023-06-08,1215,1167,2207,109,38,2,12,9,42,6,0,0,25.38
2023-06-09,773,729,2873,223,38,1,6,4,10,2,0,0,24.19
2023-06-10,737,691,2850,232,44,2,15,4,32,6,0,0,28.71
2023-06-11,516,458,2064,240,36,1,8,7,19,2,0,0,23.88
2023-06-12,601,528,1452,145,40,1,6,5,25,4,0,0,40.15
2023-06-13,645,614,1548,144,22,0,7,4,8,1,0,0,38.09
2023-06-14,699,635,2412,207,42,2,4,6,28,3,0,0,26.67
2023-06-15,941,870,3419,218,39,1,12,7,13,1,0,0,21.47
2023-06-16,932,901,1724,111,65,1,11,11,36,4,0,0,35.98
2023-06-17,662,565,2758,250,20,1,5,7,28,5,0,0,26.53
2023-06-18,483,447,1996,248,28,1,3,5,19,3,0,0,47.83
2023-06-19,585,543,1882,193,26,0,6,4,28,4,0,0,35.79
2023-06-20,671,653,2516,225,33,2,4,7,18,2,0,0,35.43
2023-06-21,792,705,3406,258,30,0,8,7,17,3,0,0,29.53
2023-06-22,994,861,2783,168,52,1,10,10,52,7,0,0,35.58
2023-06-23,960,861,2848,178,44,2,7,8,40,7,0,0,24.02
2023-06-24,726,678,1573,130,38,1,10,11,26,5,0,0,29.56
2023-06-25,797,726,2816,212,29,1,14,9,19,2,0,0,31.49
2023-06-26,659,587,1834,167,28,1,10,5,32,6,0,0,21.06
2023-06-27,486,428,891,110,39,1,9,5,17,3,0,0,19.34
2023-06-28,705,631,1340,114,36,1,11,9,27,5,0,0,22.08
2023-06-29,820,736,3157,231,45,1,6,12,22,4,0,0,21.71
2023-06-30,1027,881,2277,133,42,1,14,9,16,2,0,0,39.37
2023-07-01,942,810,2481,158,58,1,13,13,15,1,0,0,34.09
2023-07-02,579,516,1766,183,20,0,4,7,14,0,0,0,23.02
2023-07-03,618,546,2647,257,39,2,11,8,24,2,0,0,28.72
2023-07-04,788,770,1510,115,25,1,16,10,26,2,0,0,33.8
2023-07-05,853,731,2204,155,63,2,15,5,45,8,0,0,34.77
2023-07-06,953,884,2605,164,73,1,18,14,34,2,0,0,27.28
2023-07-07,763,701,2365,186,37,1,11,6,17,2,0,0,34.58
2023-07-08,1122,1085,4432,237,48,2,10,11,32,1,0,0,32.86
2023-07-09,573,556,917,96,30,1,11,9,17,1,0,0,19.69
2023-07-10,619,540,1744,169,30,1,8,8,0,0,0,0,25.89
2023-07-11,735,703,2413,197,43,1,7,4,29,5,0,0,25.69
2023-07-12,755,657,2529,201,46,2,10,4,24,4,0,0,18.57
2023-07-13,755,689,1346,107,55,2,6,6,23,2,0,0,37.35
2023-07-14,845,783,1324,94,49,2,13,8,17,3,0,0,29.04
2023-07-15,673,578,1335,119,50,1,7,6,26,5,0,0,29.12
2023-07-16,719,682,1318,110,43,1,14,8,9,1,0,0,36.65
2023-07-17,677,624,1704,151,49,2,13,4,21,4,0,0,34.51
2023-07-18,674,616,1797,160,42,1,4,4,24,2,0,0,25.91
2023-07-19,826,731,1845,134,64,2,8,6,31,6,0,0,30.3
2023-07-20,723,631,2675,222,53,2,9,9,26,2,0,0,31.37
2023-07-21,937,893,2811,180,31,2,7,12,28,4,0,0,32.9
2023-07-22,1024,1002,3618,212,62,2,12,8,33,6,0,0,25.24
2023-07-23,591,559,1546,157,27,1,4,6,26,4,0,0,32.17
2023-07-24,582,541,1387,143,22,1,6,3,34,3,0,0,34.61
2023-07-25,681,640,1419,125,24,1,12,7,26,1,0,0,23.96
2023-07-26,878,813,3585,245,54,2,14,8,29,4,0,0,19.94
2023-07-27,1224,1192,4039,198,43,2,19,15,61,4,0,0,29.14
2023-07-28,958,902,2682,168,52,1,14,14,49,3,0,0,28.38
2023-07-29,615,546,1496,146,34,1,11,5,33,3,0,0,24.79
2023-07-30,684,591,2474,217,33,1,5,5,28,4,0,0,32.71
2023-07-31,653,590,2808,258,31,1,4,8,13,1,0,0,20.92
2023-08-01,497,465,919,111,39,1,6,6,7,1,0,0,23.25
2023-08-02,600,558,1950,195,35,0,4,3,18,3,0,0,27.61
2023-08-03,806,722,2552,190,31,0,8,11,29,5,0,0,33.65
2023-08-04,790,703,1396,106,36,1,14,6,36,7,0,0,21.29
2023-08-05,760,660,2394,189,42,2,5,11,20,3,0,0,28.02
2023-08-06,634,550,1522,144,26,1,9,9,30,3,0,0,29.12
2023-08-07,585,505,2242,230,44,1,9,3,13,2,0,0,27.92
2023-08-08,633,562,1372,130,50,2,9,7,19,4,0,0,24.86
2023-08-09,891,828,3237,218,54,3,11,12,41,5,0,0,51.58
2023-08-10,962,859,4105,256,64,2,12,14,26,1,0,0,37.53
2023-08-11,708,655,2006,170,48,1,5,8,22,3,0,0,19.89
2023-08-12,1129,1103,2070,110,88,3,17,11,20,3,0,0,33.86
2023-08-13,661,562,2038,185,41,1,9,5,31,4,0,0,26.35
2023-08-14,478,422,1856,233,33,0,4,4,11,1,0,0,33.24
2023-08-15,589,528,1099,112,18,0,6,7,22,1,0,0,25.7
2023-08-16,749,721,2122,170,26,1,5,11,20,2,0,0,31.86
2023-08-17,958,910,1788,112,73,1,6,11,25,2,0,0,18.16
2023-08-18,1090,1056,2126,117,68,2,6,13,37,6,0,0,29.56
2023-08-19,758,662,1289,102,26,1,15,5,29,5,0,0,43.85
2023-08-20,772,742,1776,138,55,1,9,10,12,1,0,0,38.1
2023-08-21,534,490,2314,260,20,0,8,7,26,4,0,0,33.9
2023-08-22,735,713,2879,235,34,1,11,7,30,5,0,0,21.29
2023-08-23,860,826,1462,102,50,1,12,5,36,4,0,0,31.81
2023-08-24,868,738,1678,116,31,1,9,9,51,2,0,0,26.69
2023-08-25,846,740,2411,171,28,1,6,8,26,3,0,0,33.01
2023-08-26,828,770,3409,247,39,1,10,5,18,0,0,0,24.02
2023-08-27,533,506,1146,129,41,2,5,5,11,1,0,0,20.5
2023-08-28,660,565,1639,149,27,1,11,8,29,3,0,0,29.51
2023-08-29,587,514,1331,136,38,0,8,5,19,4,0,0,27.72
2023-08-30,824,769,2376,173,60,1,7,7,10,1,0,0,21.82
2023-08-31,955,898,1480,93,76,1,12,6,27,4,0,0,31.84
2023-09-01,696,616,2169,187,35,1,10,8,30,5,0,0,26.75
2023-09-02,728,669,3070,253,26,1,11,8,18,3,0,0,35.97
2023-09-03,643,571,1168,109,43,2,8,9,15,3,0,0,34.46
2023-09-04,646,560,2756,256,40,2,5,9,15,1,0,0,36.82
2023-09-05,730,629,2555,210,24,0,13,4,21,2,0,0,31.27
2023-09-06,1081,928,2901,161,39,0,16,11,48,7,0,0,40.75
2023-09-07,812,772,2274,168,58,3,9,8,27,1,0,0,19.56
2023-09-08,1199,1161,5056,253,89,2,8,10,14,3,0,0,22.45
2023-09-09,616,576,2177,212,46,1,12,8,19,1,0,0,24.82
2023-09-10,771,710,1863,145,46,2,13,7,31,6,0,0,30.36
2023-09-11,530,503,2014,228,33,0,3,3,9,1,0,0,36.98
2023-09-12,723,695,2567,213,27,1,13,7,23,1,0,0,29.44
2023-09-13,884,844,2166,147,54,2,16,6,47,5,0,0,24.61
2023-09-14,1134,1063,3213,170,50,2,20,6,45,1,0,0,31.74
2023-09-15,725,635,1426,118,44,2,6,6,29,5,0,0,24.02
2023-09-16,693,635,2853,247,31,1,9,7,22,2,0,0,35.21
2023-09-17,754,664,2036,162,57,2,11,10,15,0,0,0,34.95
2023-09-18,764,668,2572,202,30,1,14,6,45,1,0,0,37.61
2023-09-19,637,583,1359,128,35,2,13,6,26,4,0,0,34.13
2023-09-20,795,709,1272,96,63,2,9,10,28,5,0,0,37.53
2023-09-21,1228,1118,4380,214,94,3,11,14,62,5,0,0,31.27
2023-09-22,1046,1023,2406,138,39,2,12,14,28,3,0,0,20.55
2023-09-23,919,794,3722,243,67,3,14,11,23,1,0,0,21.57
2023-09-24,753,714,1443,115,53,2,11,11,18,2,0,0,37.19
2023-09-25,671,625,1029,92,24,1,6,8,25,4,0,0,36.82
2023-09-26,563,514,1952,208,22,1,9,8,10,1,0,0,30.79
2023-09-27,833,765,3318,239,54,2,15,5,17,3,0,0,30.0
2023-09-28,1071,1026,3695,207,65,1,15,13,19,1,0,0,28.98
2023-09-29,1082,994,3012,167,70,2,15,15,31,1,0,0,23.16
2023-09-30,849,812,2137,151,36,2,5,6,11,2,0,0,30.19
2023-10-01,837,782,2985,214,38,1,15,8,37,2,0,0,35.3
2023-10-02,660,584,1023,93,36,1,7,7,28,2,0,0,23.81
2023-10-03,640,572,2453,230,32,1,6,5,29,5,0,0,32.93
2023-10-04,630,575,1984,189,27,0,9,9,15,2,0,0,27.9
2023-10-05,1058,905,2328,132,35,1,5,12,40,6,0,0,26.65
2023-10-06,956,827,3091,194,48,1,6,9,33,6,0,0,35.69
2023-10-07,951,898,2488,157,68,1,18,12,19,1,0,0,32.72
2023-10-08,736,635,2846,232,30,0,12,9,12,0,0,0,20.24
