video,views,engagedViews,estimatedMinutesWatched,averageViewDuration,likes,dislikes,comments,shares,subscribersGained,subscribersLost,annotationClickThroughRate,annotationCloseRate,averageViewPercentage
vid_0001,24370,22035,49146,121,1845,76,307,213,544,40,0,0,36.17
vid_0002,2200,1870,15143,413,62,2,10,8,59,7,0,0,52.65
vid_0003,4048,3799,18621,276,285,6,48,33,94,3,0,0,46.16
vid_0004,24387,23586,128845,317,1732,45,289,199,211,21,0,0,33.36
vid_0005,2012,1725,12240,365,27,1,4,3,31,4,0,0,11.92
vid_0006,7126,6109,31236,263,121,1,20,14,79,5,0,0,48.97
vid_0007,9099,8332,12435,82,449,21,75,52,59,5,0,0,38.63
vid_0008,3023,2717,3728,74,181,3,30,21,23,3,0,0,31.05
vid_0009,8716,7720,67549,465,403,13,67,47,122,17,0,0,27.77
vid_0010,4869,4076,38952,480,222,10,37,25,150,13,0,0,60.51
vid_0011,9083,7521,24070,159,821,25,137,94,92,11,0,0,14.07
vid_0012,4575,4031,15936,209,133,6,22,16,156,16,0,0,53.97
vid_0013,9728,9289,29670,183,356,5,59,42,44,3,0,0,39.17
vid_0014,1003,914,1137,68,37,1,6,4,20,2,0,0,38.79
vid_0015,5253,4640,8667,99,368,6,61,43,56,8,0,0,37.56
vid_0016,45069,43305,252386,336,3341,89,557,385,393,32,0,0,51.06
vid_0017,18540,16861,21630,70,1125,11,187,130,130,4,0,0,46.32
vid_0018,7070,5901,55853,474,401,15,67,46,136,7,0,0,31.24
vid_0019,1480,1331,2269,92,28,1,5,3,35,3,0,0,40.06
vid_0020,4121,3575,5769,84,130,2,22,15,25,1,0,0,24.18
vid_0021,1406,1337,6585,281,98,1,16,12,27,1,0,0,41.21
vid_0022,5546,4758,14327,155,357,10,60,41,47,5,0,0,43.52
vid_0023,8354,7510,24366,175,736,24,123,85,23,1,0,0,44.58
vid_0024,1313,1125,7878,360,30,1,5,4,20,1,0,0,43.41
vid_0025,10339,8925,82195,477,192,9,32,22,200,8,0,0,21.1
vid_0026,10122,9198,46899,278,891,26,148,103,118,3,0,0,57.66
vid_0027,828,710,4775,346,10,0,2,1,22,1,0,0,33.11
vid_0028,3875,3667,18471,286,432,21,72,50,65,5,0,0,32.76
vid_0029,15218,14182,35762,141,851,13,142,98,96,12,0,0,53.71
vid_0030,3324,3099,19999,361,74,3,12,9,102,11,0,0,27.3
vid_0031,3724,3157,25137,405,260,13,43,30,111,11,0,0,22.17
vid_0032,3041,2906,18297,361,112,2,19,13,31,4,0,0,43.77
vid_0033,7137,6888,10824,91,480,14,80,55,59,4,0,0,52.3
vid_0034,6663,5779,34092,307,82,1,14,9,113,3,0,0,34.37
vid_0035,3441,3298,15026,262,168,2,28,20,43,4,0,0,47.78
vid_0036,3590,3085,4966,83,134,5,22,16,53,7,0,0,31.65
vid_0037,4558,4230,21119,278,134,3,22,16,91,4,0,0,61.18
vid_0038,4160,3706,20869,301,183,8,30,21,30,4,0,0,31.08
vid_0039,6512,5637,28327,261,101,5,17,11,132,4,0,0,42.21
vid_0040,3116,2925,15736,303,91,4,15,11,21,1,0,0,24.78
vid_0041,4168,3531,14102,203,309,7,51,36,26,3,0,0,31.48
vid_0042,3800,3159,11970,189,86,3,14,10,67,5,0,0,54.77
vid_0043,802,737,3676,275,16,1,3,2,13,0,0,0,34.95
vid_0044,5643,4877,29250,311,191,2,32,22,22,3,0,0,47.3
vid_0045,2468,2108,17893,435,53,2,9,6,34,5,0,0,37.47
vid_0046,7470,6260,50298,404,538,13,90,62,69,5,0,0,37.23
vid_0047,2153,2078,12236,341,100,4,17,11,11,1,0,0,40.76
vid_0048,8464,7396,18198,129,264,3,44,31,188,17,0,0,47.47
vid_0049,7576,6821,28915,229,691,7,115,80,35,1,0,0,50.91
vid_0050,10504,9711,64425,368,686,34,114,79,52,2,0,0,52.8
